number;name;type1;type2;total;hp;attack;defense;sp_attack;sp_defense;speed;generation;legendary; antecesor; predecesor;Column1
1;Bulbasaur;Grass;Poison;318;45;49;49;65;65;45;1;FALSO; NONE; Ivysaur;
2;Ivysaur;Grass;Poison;405;60;62;63;80;80;60;1;FALSO; Bulbasaur; Venusaur;
3;Venusaur;Grass;Poison;525;80;82;83;100;100;80;1;FALSO; Ivysaur; NONE;
3;Mega Venusaur;Grass;Poison;625;80;100;123;122;120;80;1;FALSO; NONE; NONE;
3;Gigantamax Venusaur;Grass;Poison;525;80;82;83;100;100;80;1;FALSO; NONE; NONE;
4;Charmander;Fire;NONE;309;39;52;43;60;50;65;1;FALSO; NONE; Charmeleon;
5;Charmeleon;Fire;NONE;405;58;64;58;80;65;80;1;FALSO; Charmander; Charizard;
6;Charizard;Fire;Flying;534;78;84;78;109;85;100;1;FALSO; Charmeleon; NONE;
6;Mega Charizard X;Fire;Dragon;634;78;130;111;130;85;100;1;FALSO; NONE; NONE;
6;Mega Charizard Y;Fire;Flying;634;78;104;78;159;115;100;1;FALSO; NONE; NONE;
6;Gigantamax Charizard;Fire;Flying;534;78;84;78;109;85;100;1;FALSO; NONE; NONE;
7;Squirtle;Water;NONE;314;44;48;65;50;64;43;1;FALSO; NONE; Wartortle;
8;Wartortle;Water;NONE;405;59;63;80;65;80;58;1;FALSO; Squirtle; Blastoise;
9;Blastoise;Water;NONE;530;79;83;100;85;105;78;1;FALSO; Wartortle; NONE;
9;Mega Blastoise;Water;NONE;630;79;103;120;135;115;78;1;FALSO; NONE; NONE;
9;Gigantamax Blasoise;Water;NONE;530;79;83;100;85;105;78;1;FALSO; NONE; NONE;
10;Caterpie;Bug;NONE;195;45;30;35;20;20;45;1;FALSO; NONE; Metapod;
11;Metapod;Bug;NONE;205;50;20;55;25;25;30;1;FALSO; Caterpie; Butterfree;
12;Butterfree;Bug;Flying;395;60;45;50;90;80;70;1;FALSO; Metapod; NONE;
12;Gigantamax Butterfree;Bug;Flying;395;60;45;50;90;80;70;1;FALSO; NONE; NONE;
13;Weedle;Bug;Poison;195;40;35;30;20;20;50;1;FALSO; NONE; Kakuna;
14;Kakuna;Bug;Poison;205;45;25;50;25;25;35;1;FALSO; Weedle; Beedrill;
15;Beedrill;Bug;Poison;395;65;90;40;45;80;75;1;FALSO; Kakuna; NONE;
15;Mega Beedrill;Bug;Poison;495;65;150;40;15;80;145;1;FALSO; NONE; NONE;
16;Pidgey;Normal;Flying;251;40;45;40;35;35;56;1;FALSO; NONE; Pidgeotto;
17;Pidgeotto;Normal;Flying;349;63;60;55;50;50;71;1;FALSO; Pidgey; Pidgeot;
18;Pidgeot;Normal;Flying;479;83;80;75;70;70;101;1;FALSO; Pidgeotto; NONE;
18;Mega Pidgeot;Normal;Flying;579;83;80;80;135;80;121;1;FALSO; NONE; NONE;
19;Rattata;Normal;NONE;253;30;56;35;25;35;72;1;FALSO; NONE; Raticate;
19;Alolan Rattata;Dark;Normal;253;30;56;35;25;35;72;7;FALSO; NONE; Alolan Raticate;
20;Raticate;Normal;NONE;413;55;81;60;50;70;97;1;FALSO; Rattata; NONE;
